Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS 
0.24,7697.77,1871.97,0.9,3.72,12.42,10.55,13.35,39.89
0.48,6108.18,2920.11,0.86,1.8,8.42,7.34,7.36,39.88
0.37,6827.24,2544.55,0.89,2.39,11.4,10.01,9.28,39.79
0.39,4798.8,1878.95,0.88,2.26,12.36,9.42,8.79,39.47
0.27,9246.73,2469.1,0.88,3.3,10.39,9.25,11.97,39.45
0.4,6701.81,2653.3,0.87,2.2,10.38,9.14,8.63,39.3
0.47,4000.55,1862.93,0.87,1.88,10.58,9.85,7.52,39.29
0.53,4690.73,2469.62,0.86,1.63,11.91,9.19,6.63,39.05
0.29,8331.03,2391.98,0.86,3.01,10.54,8.98,11.1,39.04
0.41,4509.5,1836.4,0.89,2.09,11.64,10.92,8.25,38.96
0.42,6655.95,2815.19,0.85,2.01,10.25,6.38,7.94,38.68
0.31,9291.89,2868.15,0.87,2.81,9.29,7.37,10.45,38.62
0.24,7041.72,1671.54,0.92,3.86,12.39,11.27,13.5,38.6
0.36,8761.67,3139.91,0.86,2.4,8.49,6.81,9.07,38.49
0.59,4750.22,2812.78,0.85,1.44,9.94,7.04,5.88,38.48
0.5,4911.94,2437.49,0.86,1.73,12.07,9.62,6.89,38.46
0.35,7844.83,2783.89,0.86,2.43,8.85,7.21,9.15,38.45
0.76,3410.25,2608.7,0.84,1.1,10.18,7.99,4.72,38.43
0.5,4910.77,2453.76,0.86,1.71,12.23,9.84,6.84,38.39
0.39,6850.15,2648.05,0.87,2.24,10.25,8.12,8.47,38.24
0.32,7374.81,2370.18,0.88,2.75,10.42,9.53,10.02,38.21
0.4,8084.81,3212.21,0.86,2.16,8.67,6,8.2,38.21
0.52,4141.5,2150.6,0.83,1.63,14.85,8.73,6.54,38.11
0.48,3930.93,1869.09,0.82,1.73,9.13,8.67,7.15,38.1
0.35,9465.97,3268.77,0.86,2.48,8.56,5.98,9.19,38.06
0.41,7523.65,3080.18,0.86,2.11,7.99,7.19,7.94,37.96
0.81,2873.74,2331.42,0.8,0.98,11.45,9.13,4.36,37.96
0.28,5379.81,1521.37,0.91,3.22,14.6,14.02,11.42,37.94
0.37,6337,2349.85,0.85,2.3,9.51,8.38,8.94,37.87
0.36,7629.57,2732.23,0.85,2.38,9.03,7.05,8.81,37.85
0.56,3713.1,2079,0.84,1.52,20.26,8.97,6.08,37.77
0.64,5495.22,3507.98,0.79,1.24,6.68,5.77,5.37,37.76
